epoch 0, I/O 0
epoch 1, I/O 0
epoch 2, I/O 56037376
epoch 3, I/O 35463168
epoch 4, I/O 107679744
epoch 5, I/O 72839168
epoch 6, I/O 85884928
epoch 7, I/O 74072064
epoch 8, I/O 86994944
epoch 9, I/O 85667840
epoch 10, I/O 88223744
epoch 11, I/O 89481216
epoch 12, I/O 69320704
epoch 13, I/O 68435968
epoch 14, I/O 85889024
epoch 15, I/O 89616384
epoch 16, I/O 71200768
epoch 17, I/O 90652672
epoch 18, I/O 73146368
epoch 19, I/O 101998592
epoch 20, I/O 91250688
epoch 21, I/O 69222400
epoch 22, I/O 87805952
epoch 23, I/O 88760320
epoch 24, I/O 53211136
epoch 25, I/O 72556544
epoch 26, I/O 83173376
epoch 27, I/O 65593344
epoch 28, I/O 70410240
epoch 29, I/O 73101312
epoch 30, I/O 73478144
epoch 31, I/O 88686592
epoch 32, I/O 74055680
epoch 33, I/O 73342976
epoch 34, I/O 90730496
epoch 35, I/O 89640960
epoch 36, I/O 90480640
epoch 37, I/O 66142208
epoch 38, I/O 68378624
epoch 39, I/O 85233664
epoch 40, I/O 87035904
epoch 41, I/O 71626752
epoch 42, I/O 72892416
epoch 43, I/O 90009600
epoch 44, I/O 74829824
epoch 45, I/O 72167424
epoch 46, I/O 74002432
epoch 47, I/O 53870592
epoch 48, I/O 73711616
epoch 49, I/O 92860416
epoch 50, I/O 72925184
epoch 51, I/O 86478848
epoch 52, I/O 105836544
epoch 53, I/O 71331840
epoch 54, I/O 70565888
epoch 55, I/O 71503872
epoch 56, I/O 87531520
epoch 57, I/O 52768768
epoch 58, I/O 86249472
epoch 59, I/O 71593984
epoch 60, I/O 88334336
epoch 61, I/O 71749632
epoch 62, I/O 72069120
epoch 63, I/O 91934720
epoch 64, I/O 92823552
epoch 65, I/O 90681344
epoch 66, I/O 89321472
epoch 67, I/O 68169728
epoch 68, I/O 70889472
epoch 69, I/O 85618688
epoch 70, I/O 70676480
epoch 71, I/O 95248384
epoch 72, I/O 82776064
epoch 73, I/O 67624960
epoch 74, I/O 71225344
epoch 75, I/O 79122432
epoch 76, I/O 95363072
epoch 77, I/O 88354816
epoch 78, I/O 85004288
epoch 79, I/O 85573632
epoch 80, I/O 72527872
epoch 81, I/O 88997888
epoch 82, I/O 81223680
epoch 83, I/O 70434816
epoch 84, I/O 86962176
epoch 85, I/O 70311936
epoch 86, I/O 87351296
epoch 87, I/O 70180864
epoch 88, I/O 87166976
epoch 89, I/O 68886528
epoch 90, I/O 71888896
epoch 91, I/O 89464832
epoch 92, I/O 73564160
epoch 93, I/O 71442432
epoch 94, I/O 70725632
epoch 95, I/O 71598080
epoch 96, I/O 71311360
epoch 97, I/O 88395776
epoch 98, I/O 72024064
epoch 99, I/O 54874112
epoch 100, I/O 90615808
epoch 101, I/O 69431296
epoch 102, I/O 68476928
epoch 103, I/O 65671168
epoch 104, I/O 84393984
epoch 105, I/O 85422080
epoch 106, I/O 102461440
epoch 107, I/O 69902336
epoch 108, I/O 69644288
epoch 109, I/O 89190400
epoch 110, I/O 70787072
epoch 111, I/O 88707072
epoch 112, I/O 70074368
epoch 113, I/O 70754304
epoch 114, I/O 69578752
epoch 115, I/O 88158208
epoch 116, I/O 90144768
epoch 117, I/O 53596160
epoch 118, I/O 70819840
epoch 119, I/O 89411584
epoch 120, I/O 70508544
epoch 121, I/O 69406720
epoch 122, I/O 71647232
epoch 123, I/O 89137152
epoch 124, I/O 101744640
epoch 125, I/O 81149952
epoch 126, I/O 71168000
epoch 127, I/O 72105984
epoch 128, I/O 72105984
epoch 129, I/O 71311360
epoch 130, I/O 90497024
epoch 131, I/O 84467712
epoch 132, I/O 82493440
epoch 133, I/O 71905280
epoch 134, I/O 88035328
epoch 135, I/O 72392704
epoch 136, I/O 70766592
epoch 137, I/O 87166976
epoch 138, I/O 67760128
epoch 139, I/O 79929344
epoch 140, I/O 83673088
epoch 141, I/O 76603392
epoch 142, I/O 95772672
epoch 143, I/O 84873216
epoch 144, I/O 89542656
epoch 145, I/O 87658496
epoch 146, I/O 88535040
epoch 147, I/O 70340608
epoch 148, I/O 104099840
epoch 149, I/O 70881280
epoch 150, I/O 89706496
epoch 151, I/O 72601600
epoch 152, I/O 82292736
epoch 153, I/O 87089152
epoch 154, I/O 89001984
epoch 155, I/O 89952256
epoch 156, I/O 90644480
epoch 157, I/O 71680000
epoch 158, I/O 72724480
epoch 159, I/O 90619904
epoch 160, I/O 72835072
epoch 161, I/O 86528000
epoch 162, I/O 90468352
epoch 163, I/O 72364032
epoch 164, I/O 92643328
epoch 165, I/O 89972736
epoch 166, I/O 91648000
epoch 167, I/O 88440832
epoch 168, I/O 89710592
epoch 169, I/O 89530368
epoch 170, I/O 71438336
epoch 171, I/O 87502848
epoch 172, I/O 70930432
epoch 173, I/O 79880192
epoch 174, I/O 51052544
epoch 175, I/O 84082688
epoch 176, I/O 53616640
epoch 177, I/O 104112128
epoch 178, I/O 89624576
epoch 179, I/O 72556544
epoch 180, I/O 87859200
epoch 181, I/O 67289088
epoch 182, I/O 86843392
epoch 183, I/O 91168768
epoch 184, I/O 73396224
epoch 185, I/O 88662016
epoch 186, I/O 87445504
epoch 187, I/O 88354816
epoch 188, I/O 71000064
epoch 189, I/O 71401472
epoch 190, I/O 88969216
epoch 191, I/O 87158784
epoch 192, I/O 87863296
epoch 193, I/O 86265856
epoch 194, I/O 89796608
epoch 195, I/O 73371648
epoch 196, I/O 70234112
epoch 197, I/O 90963968
epoch 198, I/O 72093696
epoch 199, I/O 90935296
epoch 200, I/O 89255936
epoch 201, I/O 71081984
epoch 202, I/O 69750784
epoch 203, I/O 90570752
epoch 204, I/O 69980160
epoch 205, I/O 71671808
epoch 206, I/O 69836800
epoch 207, I/O 72019968
epoch 208, I/O 91074560
epoch 209, I/O 71921664
epoch 210, I/O 91262976
epoch 211, I/O 92114944
epoch 212, I/O 71512064
epoch 213, I/O 91693056
epoch 214, I/O 100450304
epoch 215, I/O 71471104
epoch 216, I/O 91561984
epoch 217, I/O 88993792
epoch 218, I/O 89546752
epoch 219, I/O 89858048
epoch 220, I/O 72331264
epoch 221, I/O 71663616
epoch 222, I/O 89452544
epoch 223, I/O 71663616
epoch 224, I/O 88903680
epoch 225, I/O 84348928
epoch 226, I/O 66953216
epoch 227, I/O 87355392
