epoch 0, I/O 0
epoch 1, I/O 0
epoch 2, I/O 5578752
epoch 3, I/O 59801600
epoch 4, I/O 57344000
epoch 5, I/O 71045120
epoch 6, I/O 87617536
epoch 7, I/O 88834048
epoch 8, I/O 90378240
epoch 9, I/O 89776128
epoch 10, I/O 89243648
epoch 11, I/O 71872512
epoch 12, I/O 90312704
epoch 13, I/O 104857600
epoch 14, I/O 89808896
epoch 15, I/O 72187904
epoch 16, I/O 70287360
epoch 17, I/O 87040000
epoch 18, I/O 100950016
epoch 19, I/O 82300928
epoch 20, I/O 85180416
epoch 21, I/O 70164480
epoch 22, I/O 88276992
epoch 23, I/O 89190400
epoch 24, I/O 71634944
epoch 25, I/O 100700160
epoch 26, I/O 82919424
epoch 27, I/O 51073024
epoch 28, I/O 85889024
epoch 29, I/O 105213952
epoch 30, I/O 69091328
epoch 31, I/O 101380096
epoch 32, I/O 67862528
epoch 33, I/O 103096320
epoch 34, I/O 85671936
epoch 35, I/O 69357568
epoch 36, I/O 66547712
epoch 37, I/O 81039360
epoch 38, I/O 52649984
epoch 39, I/O 71266304
epoch 40, I/O 104542208
epoch 41, I/O 107913216
epoch 42, I/O 89063424
epoch 43, I/O 71344128
epoch 44, I/O 70479872
epoch 45, I/O 68104192
epoch 46, I/O 89272320
epoch 47, I/O 68460544
epoch 48, I/O 84258816
epoch 49, I/O 85889024
epoch 50, I/O 72732672
epoch 51, I/O 67317760
epoch 52, I/O 105005056
epoch 53, I/O 106074112
epoch 54, I/O 71520256
epoch 55, I/O 72818688
epoch 56, I/O 69742592
epoch 57, I/O 102666240
epoch 58, I/O 83689472
epoch 59, I/O 98529280
epoch 60, I/O 84910080
epoch 61, I/O 82931712
epoch 62, I/O 100093952
epoch 63, I/O 86249472
epoch 64, I/O 70057984
epoch 65, I/O 87949312
epoch 66, I/O 89292800
epoch 67, I/O 88539136
epoch 68, I/O 69132288
epoch 69, I/O 105992192
epoch 70, I/O 97148928
epoch 71, I/O 64749568
epoch 72, I/O 64086016
epoch 73, I/O 65839104
epoch 74, I/O 95531008
epoch 75, I/O 84283392
epoch 76, I/O 84205568
epoch 77, I/O 67678208
epoch 78, I/O 85176320
epoch 79, I/O 76222464
epoch 80, I/O 67596288
epoch 81, I/O 88342528
epoch 82, I/O 83648512
epoch 83, I/O 68521984
epoch 84, I/O 68571136
epoch 85, I/O 82890752
epoch 86, I/O 83988480
epoch 87, I/O 68800512
epoch 88, I/O 80633856
epoch 89, I/O 82575360
epoch 90, I/O 107249664
epoch 91, I/O 66011136
epoch 92, I/O 101171200
epoch 93, I/O 50999296
epoch 94, I/O 101359616
epoch 95, I/O 84905984
epoch 96, I/O 104431616
epoch 97, I/O 51339264
epoch 98, I/O 102031360
epoch 99, I/O 103043072
epoch 100, I/O 70049792
epoch 101, I/O 87949312
epoch 102, I/O 82157568
epoch 103, I/O 66289664
epoch 104, I/O 81694720
epoch 105, I/O 96567296
epoch 106, I/O 79826944
epoch 107, I/O 84619264
epoch 108, I/O 86274048
epoch 109, I/O 120209408
epoch 110, I/O 88985600
epoch 111, I/O 107249664
epoch 112, I/O 69984256
epoch 113, I/O 86319104
epoch 114, I/O 90451968
epoch 115, I/O 65404928
epoch 116, I/O 103395328
epoch 117, I/O 30498816
epoch 118, I/O 26374144
epoch 119, I/O 28291072
epoch 120, I/O 23912448
epoch 121, I/O 53112832
epoch 122, I/O 53805056
epoch 123, I/O 33538048
epoch 124, I/O 75214848
epoch 125, I/O 49266688
epoch 126, I/O 39784448
epoch 127, I/O 31129600
epoch 128, I/O 44036096
epoch 129, I/O 61894656
epoch 130, I/O 42389504
epoch 131, I/O 34078720
epoch 132, I/O 47239168
epoch 133, I/O 67268608
epoch 134, I/O 70217728
